Station Name,Lat,Lon,EMS ID,PM_25
Abbotsford A Columbia Street,49.0215,-122.3266,E289309,4.7
Abbotsford Central,49.0428,-122.3097,E238212,4.6
Agassiz Municipal Hall,49.238032,-121.762334,E293810,6.7
Burnaby South,49.2153,-122.9856,E207418,3.8
Burns Lake Fire Centre,54.2307,-125.7643,E225267,5.4
Burns Lake Fire Centre,54.230731,-125.764354,E225267,5.4
Castlegar Zinio Park,49.317698,-117.661527,E286369,13.5
Central Saanich Stellys Cross Road,48.58,-123.4422,E253229,4.2
Chilliwack Airport,49.1561,-121.9406,E220891,4.1
Colwood City Hall,48.42389,-123.49278,E240337,8.1
Courtenay Elementary School,49.682603,-124.996222,E285829,8.9
Cranbrook Muriel Baxter,49.507103,-115.753682,E313510,9.0
Creston PC School,49.0944,-116.5125,E221199,3.9
Crofton Elementary,48.86,-123.64388889,E316070,5.1
Crofton Escarpment Way,48.838,-123.6552,E273443,3.7
Crofton Georgia Hts,48.849635,-123.637041,E296370,8.3
Crofton Substation,48.874529,-123.653929,E220217,4.3
Duncan Cairnsmore,48.784854,-123.715846,E277329,9.2
Duncan College Street,48.786114,-123.717307,E311128,7.6
Duncan Deykin Avenue,48.80255,-123.646402,E234670,4.4
Elk Falls Dogwood,50.018425,-125.2844,E222520,3.9
Farmington MAML,55.904722,-120.51583,E283242,6.8
Fort St John 85th Avenue,56.231792,-120.853895,E304550,4.8
Fort St John Key Learning Centre,56.244722,-120.856111,E299830,6.7
Fort St John North Camp B_Amb,56.200998,-120.9026,E306480,5.8
Fort St John North Camp C,56.2032887,-120.90108,E309527,4.8
Fort St John Old Fort,56.200587,-120.825713,E304470,4.5
Gibsons Municipal Hall,49.40054,-123.50913,E308306,7.9
Golden Helipad,51.2975,-116.966,E292149,5.7
Golden Hospital,51.2958,-116.9716,E235070,6.4
Grand Forks City Hall,49.031168,-118.439088,E263701,6.1
Groundbirch MAML,55.7283,-120.8919,E282369,2.2
Harmac Cedar Woobank,49.114165,-123.850165,E225377,9.1
Harmac Cedar Woobank,49.1216,-123.86,E225377,9.1
Hope Airport,49.3697,-121.4994,E223756,3.7
Horseshoe Bay,49.3686,-123.2766,E275843,3.6
Houston Firehall,54.3972,-126.645,M107004,5.7
Houston Firehall,54.398289,-126.641604,M107004,5.7
Kamloops Aberdeen,50.63694,-120.37207,E303935,5.1
Kamloops Brocklehurst,50.6975,-120.3969,E206898,8.2
Kamloops Fire Station #2,50.7025,-120.3944,E286009,7.4
Kelly Lake MAML,55.2606,-120.0356,E284909,4.5
Kelowna KLO Road,49.862119,-119.467461,E317850,6.5
Kelowna Raymer Ave WWTP,49.86412,-119.48396,E316938,2.8
Kitimat City Centre MAML,54.0553,-128.6544,E283510,2.8
Kitimat Haisla Village,53.973228,-128.650768,E282711,2.2
Kitimat Haul Road,54.029194,-128.70269,E223616,2.5
Kitimat Rail,54.0611,-128.6872,E223827,2.1
Kitimat Riverlodge,54.05389,-128.671436,E216670,2.8
Kitimat Smeltersite Road,54.018801,-128.700585,E290529,9.3
Kitimat Whitesail,54.066909,-128.639131,E223615,1.5
Langdale Elementary,49.438848,-123.479185,E222778,4.7
Langford Lakewood  School,48.4658,-123.5075,E264882,3.2
Langley Central,49.0956,-122.5669,E209178,4.1
Lavington Baptist Church,50.23081,-119.10674,E304590,10.3
Mission School Works Yard,49.14149,-122.311078,E302130,5.5
Nanaimo Labieux Road,49.20083,-123.99389,E229797,3.4
Nelson Kutenai Place,49.4908,-117.2952,E258315,3.8
New Westminster Sapperton Park,49.227045,-122.894487,E308566,7.2
North Delta,49.1583,-122.9017,E207723,4.6
North Vancouver Mahon Park,49.3239,-123.0836,E209177,3.9
Osoyoos Canada Customs,49.0,-119.4625,E257415,7.0
Peace Valley Attachie Flat Upper Terrace,56.231213,-121.41944,E304453,3.5
Penticton Industrial Place,49.47753,-119.59578,E317390,4.1
Pitt Meadows Meadowlands School,49.2453,-122.7089,E232244,3.9
Port Alberni Elementary,49.261014,-124.806628,E273483,7.8
Port Alberni Port Authority,49.227798,-124.81254,E310612,8.2
Powell River James Thomson School,49.889299,-124.5624,E271963,2.4
Prince George 18th Avenue MAML,53.906819,-122.79525,E309666,7.2
Prince George Denicola Ranch,53.9353,-122.6814,E283370,9.2
Prince George Exploration Place Trailer,53.9053,-122.7344,E283369,9.8
Prince Rupert Fairview,54.292637,-130.35242,E312331,3.2
Prince Rupert Fairview,54.292615,-130.352188,E312331,3.2
Prince Rupert Pineridge Elementary,54.298547,-130.337676,E312330,3.3
Quadra Island Cape Mudge Village,50.0183,-125.1972,E266302,4.1
Quesnel Maple Drive,52.963,-122.4972,E216667,9.0
Quesnel Senior Secondary,52.981686,-122.493227,E208096,10.4
Quesnel Senior Secondary,52.9822,-122.4922,E208096,10.4
Quesnel West Correlieu School,52.9664,-122.5167,E228064,7.6
Revelstoke Mt Begbie School,50.9872,-118.2056,E248021,6.0
Richmond South,49.1414,-123.1083,E207417,4.2
